"","combi","period_diff","ci_width"
"1","1 - 2",0,1.02414632613432
"2","1 - 3",0,1.00000833274721
"3","1 - 4",0,1.01821900627928
"4","1 - 5",0.0396825396825397,1.02006037650635
"5","1 - 6",0.0476190476190476,1.03286901312259
"6","1 - 7",0.0793650793650794,1.00601685453508
"7","1 - 8",0,1.01521065367607
"8","1 - 9",0.119047619047619,1.03285290049401
"9","1 - 10",0,1.00128009611874
"10","2 - 3",0,1.02272639713863
"11","2 - 4",0,1.02913788154309
"12","2 - 5",0.142857142857143,1.02769138321383
"13","2 - 6",0.174603174603175,1.03243973814233
"14","2 - 7",0.222222222222222,1.01701478257429
"15","2 - 8",0,1.02905728653646
"16","2 - 9",0.396825396825397,1.03890927832737
"17","2 - 10",0,1.02404309306974
"18","3 - 4",0.0793650793650794,1.00951722243835
"19","3 - 5",0.142857142857143,1.01494071836068
"20","3 - 6",0.166666666666667,1.04106543824027
"21","3 - 7",0,0.99765726415604
"22","3 - 8",0.0952380952380952,1.02730398734301
"23","3 - 9",0.158730158730159,1.03127529027441
"24","3 - 10",0.103174603174603,1.00118348205053
"25","4 - 5",0.0714285714285714,1.03446849548283
"26","4 - 6",0.0634920634920635,1.03899726796696
"27","4 - 7",0.0476190476190476,1.02288729222882
"28","4 - 8",0,1.02218579598149
"29","4 - 9",0.277777777777778,1.03908099810101
"30","4 - 10",0,1.01769208122879
"31","5 - 6",0.142857142857143,1.0391314705241
"32","5 - 7",0,1.02272508336158
"33","5 - 8",0.126984126984127,1.02749078412108
"34","5 - 9",0.00793650793650794,1.03968115674647
"35","5 - 10",0.134920634920635,1.02384641327456
"36","6 - 7",0.166666666666667,1.01406756406191
"37","6 - 8",0.126984126984127,1.07485954812889
"38","6 - 9",0.285714285714286,1.03491363488749
"39","6 - 10",0.142857142857143,1.04236160347111
"40","7 - 8",0.0634920634920635,1.00413480824252
"41","7 - 9",0,1.03509650776644
"42","7 - 10",0.222222222222222,1.01398725989829
"43","8 - 9",0.333333333333333,1.0374460457819
"44","8 - 10",0,1.02337541646263
"45","9 - 10",0.420634920634921,1.03797867788356
