"","Seascapes","lag","si","cmi","bcmi","z"
"1","1 & 2",0,1.09167103599258,0.482336578761529,0.389954420111639,3.37853147742967
"2","1 & 2",1,1.09167103599258,0.455166977884544,0.367291462213649,3.22186488895619
"3","1 & 2",2,1.09167103599258,0.454674601261342,0.33608373028707,2.80120207177722
"4","1 & 2",3,1.09167103599258,0.281992080144581,0.130063936856203,1.43875269310067
"5","1 & 2",4,1.09167103599258,0.366578870255815,0.283372267435051,2.63907923514845
"6","1 & 2",5,1.09167103599258,0.290290488939299,0.165326424949028,2.01796694068822
"7","1 & 2",6,1.09167103599258,0.297054286070182,0.182471196729168,2.10113106493848
"8","1 & 2",7,1.09167103599258,0.310613153418851,0.177718968045367,2.50900940611828
"9","1 & 2",8,1.09167103599258,0.356648016275892,0.242102780371536,2.57443123276847
"10","1 & 2",9,1.09167103599258,0.283821617368157,0.163737250544711,1.9533428492482
"11","1 & 2",10,1.09167103599258,0.354475359629764,0.268254208155613,2.92507068588822
"12","1 & 3",0,1.09167103599258,0.251015365383208,0.0674109173019656,0.814445814004202
"13","1 & 3",1,1.09167103599258,0.336345590739959,0.176749584541741,1.91743438076301
"14","1 & 3",2,1.09167103599258,0.250349336168818,0.134263499311414,1.63712720763459
"15","1 & 3",3,1.09167103599258,0.28812002241815,0.169092630155581,1.76483914127662
"16","1 & 3",4,1.09167103599258,0.185131981021504,0.0422087853231089,0.503661315798967
"17","1 & 3",5,1.09167103599258,0.242228386993535,0.132502904687867,1.76253834853724
"18","1 & 3",6,1.09167103599258,0.142828169962135,-0.00634260127900513,-0.102320924940069
"19","1 & 3",7,1.09167103599258,0.131323287079029,-0.0110208830621462,-0.212033558824691
"20","1 & 3",8,1.09167103599258,0.243261243084041,0.131837956502021,1.68403534907355
"21","1 & 3",9,1.09167103599258,0.201078169734782,0.104899823198823,1.60194466972434
"22","1 & 3",10,1.09167103599258,0.0916231527530744,-0.0502285069950299,-0.950701077795817
"23","1 & 4",0,1.09167103599258,0.346306321415252,0.26131350497348,2.58720605350188
"24","1 & 4",1,1.09167103599258,0.205506079863083,0.0842182011374373,0.883044718718376
"25","1 & 4",2,1.09167103599258,0.182093769480875,0.0920207070253415,1.19027030779188
"26","1 & 4",3,1.09167103599258,0.191304606099838,0.0929251599951205,1.22097348604332
"27","1 & 4",4,1.09167103599258,0.181342473754855,0.1038055853128,1.47358041451755
"28","1 & 4",5,1.09167103599258,0.199304147106387,0.128592600807905,1.49058566141104
"29","1 & 4",6,1.09167103599258,0.107172359606377,-0.0582498534974148,-0.702622552753599
"30","1 & 4",7,1.09167103599258,0.125009140810591,-0.0200540263549242,-0.21560486683324
"31","1 & 4",8,1.09167103599258,0.118072971746461,-0.00703257603379908,-0.139381365202528
"32","1 & 4",9,1.09167103599258,0.149841481576438,0.062534086290547,0.827432182506204
"33","1 & 4",10,1.09167103599258,0.138166030005374,0.0287002395385827,0.468213161066485
"34","1 & 5",0,1.09167103599258,0.147461424707284,0.0493961290654098,0.756020071634845
"35","1 & 5",1,1.09167103599258,0.256263052537036,0.198495078049402,2.42801225153695
"36","1 & 5",2,1.09167103599258,0.0929725980617553,0.0162745935245621,0.243813232180821
"37","1 & 5",3,1.09167103599258,0.114825652567806,0.037885144572318,0.615603580221726
"38","1 & 5",4,1.09167103599258,0.104337523937207,0.0148465155208288,0.216535693273778
"39","1 & 5",5,1.09167103599258,0.147784104261223,0.0698248841433284,0.993945980875482
"40","1 & 5",6,1.09167103599258,0.151971058989431,0.0718031850891926,1.00676385864937
"41","1 & 5",7,1.09167103599258,0.249956329492412,0.17044397788876,1.71911934532757
"42","1 & 5",8,1.09167103599258,0.155133008796615,0.0790864493640261,1.05044688412778
"43","1 & 5",9,1.09167103599258,0.116990814846298,0.0442520833972848,0.545533013001475
"44","1 & 5",10,1.09167103599258,0.204009493211805,0.172937158672968,1.91716266869297
"45","1 & 6",0,1.09167103599258,0.39159041511123,0.20391950815679,1.98918396462448
"46","1 & 6",1,1.09167103599258,0.399297228437788,0.246365484653784,2.75170391364924
"47","1 & 6",2,1.09167103599258,0.243717815804473,0.0539646196815989,0.793180658082314
"48","1 & 6",3,1.09167103599258,0.186215814389848,3.97999615592726e-05,0.000523934138703761
"49","1 & 6",4,1.09167103599258,0.142475865283629,-0.0405463177131358,-0.600628026657962
"50","1 & 6",5,1.09167103599258,0.104639802238172,-0.116510827838736,-1.73430325797462
"51","1 & 6",6,1.09167103599258,0.18779455137891,0.0304898647552242,0.412679394333309
"52","1 & 6",7,1.09167103599258,0.206604053847157,0.0473409949646118,0.668713797544749
"53","1 & 6",8,1.09167103599258,0.289964966219288,0.170239119290599,1.84161766280666
"54","1 & 6",9,1.09167103599258,0.172170394651473,0.0239212690173559,0.333212415575221
"55","1 & 6",10,1.09167103599258,0.116639232401767,-0.0306578746124392,-0.6411730912788
