"","Seascapes","lag","si","cmi","bcmi","z"
"1","1 & 2",0,1.02938131175271,0.364757319815121,0.28189315975622,2.44660507560053
"2","1 & 2",1,1.02938131175271,0.421707084515714,0.341845840852691,3.18695259220461
"3","1 & 2",2,1.02938131175271,0.358574971691974,0.25478083098576,2.76500822588717
"4","1 & 2",3,1.02938131175271,0.401467895948065,0.310661483738973,3.15274785821914
"5","1 & 2",4,1.02938131175271,0.338792794687705,0.254754889926247,2.81478994646894
"6","1 & 2",5,1.02938131175271,0.341253364079711,0.269138978732539,2.75777720314569
"7","1 & 2",6,1.02938131175271,0.252790022804263,0.164223388322683,1.64824735532518
"8","1 & 2",7,1.02938131175271,0.194017709099411,0.0969013291512013,1.16659997441414
"9","1 & 2",8,1.02938131175271,0.136570885651281,-0.00787983944089784,-0.114625351392985
"10","1 & 2",9,1.02938131175271,0.187553917441106,0.0526623805325678,0.561769674687635
"11","1 & 2",10,1.02938131175271,0.310223130749594,0.237383966994912,2.58005611303618
"12","1 & 3",0,1.02938131175271,0.269730634183293,0.188729112088043,3.1469363012621
"13","1 & 3",1,1.02938131175271,0.222017477314706,0.10535688941904,1.75590550697975
"14","1 & 3",2,1.02938131175271,0.265816946885663,0.178401267660467,2.42023449075179
"15","1 & 3",3,1.02938131175271,0.184435079417418,0.0924616284796295,1.41872095562835
"16","1 & 3",4,1.02938131175271,0.113501171927417,-0.0133320205716249,-0.218120947486715
"17","1 & 3",5,1.02938131175271,0.187748873250674,0.0879113778996409,1.23411673104973
"18","1 & 3",6,1.02938131175271,0.170347565552826,0.093349514085947,1.38633374262095
"19","1 & 3",7,1.02938131175271,0.220091865389686,0.112744684846307,1.38282304126397
"20","1 & 3",8,1.02938131175271,0.215045505944341,0.0990245155589618,1.0622440990412
"21","1 & 3",9,1.02938131175271,0.240138940359728,0.106180216972664,1.13321751353116
"22","1 & 3",10,1.02938131175271,0.329034766855584,0.240517071177848,2.43943922847366
"23","1 & 4",0,1.02938131175271,0.364400404995685,0.247388747349498,2.4468032882164
"24","1 & 4",1,1.02938131175271,0.420824387842886,0.313925885912306,3.21818667925307
"25","1 & 4",2,1.02938131175271,0.494911731681642,0.399814657130705,4.55886740220436
"26","1 & 4",3,1.02938131175271,0.516360145496503,0.457831286257986,4.03539591558499
"27","1 & 4",4,1.02938131175271,0.508664858447339,0.449602140579074,3.64027985719669
"28","1 & 4",5,1.02938131175271,0.49953985512068,0.443132232444862,3.81088010054305
"29","1 & 4",6,1.02938131175271,0.418508347088063,0.324753053087779,4.17084445558252
"30","1 & 4",7,1.02938131175271,0.35628464488869,0.265969259393009,2.14386718019841
"31","1 & 4",8,1.02938131175271,0.447128707931861,0.331452884513134,2.63318754796697
"32","1 & 4",9,1.02938131175271,0.36564654816591,0.240113920594523,2.35103869817876
"33","1 & 4",10,1.02938131175271,0.314759120963565,0.204513605980609,2.05655707421969
"34","1 & 5",0,1.02938131175271,0.305070401779629,0.167688832715181,2.10938477180824
"35","1 & 5",1,1.02938131175271,0.356307248885345,0.253909763972117,2.75762618581533
"36","1 & 5",2,1.02938131175271,0.312499973057813,0.185651221075993,2.24830125968501
"37","1 & 5",3,1.02938131175271,0.351177237068105,0.224146547462885,2.52983508038448
"38","1 & 5",4,1.02938131175271,0.368613773933897,0.278773571871403,2.52517152199416
"39","1 & 5",5,1.02938131175271,0.410533106762015,0.302734892215682,2.58662616580136
"40","1 & 5",6,1.02938131175271,0.445539952512737,0.333323483722074,2.41573433294873
"41","1 & 5",7,1.02938131175271,0.453069086796769,0.340272563032299,2.65228365385504
"42","1 & 5",8,1.02938131175271,0.570275255333639,0.475314205100065,3.14488027353589
"43","1 & 5",9,1.02938131175271,0.544553501534629,0.427392880899549,3.26601184413266
