"","Survey","Year","Quarter","Ship","Gear","HaulNo","HaulDur","ShootLat","ShootLong","DateTime","Depth","Area","SubArea","DayNight","AphiaID","Species","Sex","LngtClass","CPUE_number_per_hour","DateofCalculation","LngtClass_cm","WeightConv","Weight","Total_wgt"
"220","NS-IBTS",1977,1,"JOH","GOV",16,30,57.75,5.5833,"10/02/1977 07:10:00",115,7,"44F5","N",126975,"Dicentrarchus labrax",-9,0,0,20190405,0,"0.0105*(L)^3.02",0,0
"221","NS-IBTS",1977,1,"JOH","GOV",17,30,54.9167,7.8333,"14/02/1977 12:13:00",17,6,"38F7","D",126975,"Dicentrarchus labrax",-9,0,0,20190405,0,"0.0105*(L)^3.02",0,0
"222","NS-IBTS",1977,1,"JOH","GOV",18,30,54.75,7.5833,"14/02/1977 14:25:00",18,6,"38F7","D",126975,"Dicentrarchus labrax",-9,0,0,20190405,0,"0.0105*(L)^3.02",0,0
"223","NS-IBTS",1977,1,"JOH","GOV",19,30,54.6667,7.75,"14/02/1977 16:43:00",16,6,"38F7","N",126975,"Dicentrarchus labrax",-9,0,0,20190405,0,"0.0105*(L)^3.02",0,0
"224","NS-IBTS",1977,1,"JOH","GOV",20,30,54.4167,7.8333,"15/02/1977 07:33:00",20,6,"37F7","D",126975,"Dicentrarchus labrax",-9,0,0,20190405,0,"0.0105*(L)^3.02",0,0
"225","NS-IBTS",1977,1,"JOH","GOV",21,30,54.3333,7.4667,"15/02/1977 09:57:00",28,6,"37F7","D",126975,"Dicentrarchus labrax",-9,0,0,20190405,0,"0.0105*(L)^3.02",0,0
"226","NS-IBTS",1977,1,"JOH","GOV",22,30,54.3,7.15,"15/02/1977 12:05:00",37,6,"37F7","D",126975,"Dicentrarchus labrax",-9,0,0,20190405,0,"0.0105*(L)^3.02",0,0
"227","NS-IBTS",1977,1,"JOH","GOV",23,26,54.3167,6.8667,"15/02/1977 13:57:00",34,6,"37F6","D",126975,"Dicentrarchus labrax",-9,0,0,20190405,0,"0.0105*(L)^3.02",0,0
"228","NS-IBTS",1977,1,"JOH","GOV",24,30,54.55,6.5333,"15/02/1977 16:30:00",36,6,"38F6","D",126975,"Dicentrarchus labrax",-9,0,0,20190405,0,"0.0105*(L)^3.02",0,0
"229","NS-IBTS",1977,1,"JOH","GOV",25,30,55.1667,3.6667,"16/02/1977 07:20:00",37,6,"39F3","D",126975,"Dicentrarchus labrax",-9,0,0,20190405,0,"0.0105*(L)^3.02",0,0
"230","NS-IBTS",1977,1,"JOH","GOV",26,30,55.1,2.8333,"16/02/1977 12:20:00",23,2,"39F2","D",126975,"Dicentrarchus labrax",-9,0,0,20190405,0,"0.0105*(L)^3.02",0,0
"231","NS-IBTS",1977,1,"JOH","GOV",27,30,55.25,2.5333,"16/02/1977 13:28:00",34,2,"39F2","D",126975,"Dicentrarchus labrax",-9,0,0,20190405,0,"0.0105*(L)^3.02",0,0
"232","NS-IBTS",1977,1,"JOH","GOV",28,30,55.3333,2.1667,"16/02/1977 15:17:00",38,2,"39F2","D",126975,"Dicentrarchus labrax",-9,0,0,20190405,0,"0.0105*(L)^3.02",0,0
"233","NS-IBTS",1977,1,"JOH","GOV",29,30,55.2667,1.4333,"17/02/1977 07:20:00",56,2,"39F1","D",126975,"Dicentrarchus labrax",-9,0,0,20190405,0,"0.0105*(L)^3.02",0,0
"234","NS-IBTS",1977,1,"JOH","GOV",30,30,55.3,0.5,"17/02/1977 13:15:00",83,4,"39F0","D",126975,"Dicentrarchus labrax",-9,0,0,20190405,0,"0.0105*(L)^3.02",0,0
"235","NS-IBTS",1977,1,"JOH","GOV",31,30,55.6,0.4,"17/02/1977 16:05:00",79,2,"40F0","D",126975,"Dicentrarchus labrax",-9,0,0,20190405,0,"0.0105*(L)^3.02",0,0
"236","NS-IBTS",1977,1,"JOH","GOV",32,30,55.65,1.6,"18/02/1977 06:55:00",73,2,"40F1","D",126975,"Dicentrarchus labrax",-9,0,0,20190405,0,"0.0105*(L)^3.02",0,0
"237","NS-IBTS",1977,1,"JOH","GOV",33,30,55.7,2.5667,"18/02/1977 11:47:00",77,2,"40F2","D",126975,"Dicentrarchus labrax",-9,0,0,20190405,0,"0.0105*(L)^3.02",0,0
"238","NS-IBTS",1977,1,"JOH","GOV",34,30,55.6333,3.35,"18/02/1977 15:47:00",43,2,"40F3","D",126975,"Dicentrarchus labrax",-9,0,0,20190405,0,"0.0105*(L)^3.02",0,0
"239","NS-IBTS",1977,1,"JOH","GOV",35,30,57.1833,7.2667,"20/02/1977 06:35:00",64,7,"43F7","D",126975,"Dicentrarchus labrax",-9,0,0,20190405,0,"0.0105*(L)^3.02",0,0
"240","NS-IBTS",1977,1,"JOH","GOV",36,30,57.1333,6.4333,"20/02/1977 09:25:00",63,7,"43F6","D",126975,"Dicentrarchus labrax",-9,0,0,20190405,0,"0.0105*(L)^3.02",0,0
"241","NS-IBTS",1977,1,"JOH","GOV",37,30,57.25,5.7333,"20/02/1977 12:55:00",66,7,"43F5","D",126975,"Dicentrarchus labrax",-9,0,0,20190405,0,"0.0105*(L)^3.02",0,0
"242","NS-IBTS",1977,1,"JOH","GOV",38,30,57.3333,4.8667,"20/02/1977 16:49:00",66,2,"43F4","D",126975,"Dicentrarchus labrax",-9,0,0,20190405,0,"0.0105*(L)^3.02",0,0
"243","NS-IBTS",1977,1,"JOH","GOV",39,30,57.8667,4.55,"21/02/1977 05:30:00",98,2,"44F4","N",126975,"Dicentrarchus labrax",-9,0,0,20190405,0,"0.0105*(L)^3.02",0,0
"244","NS-IBTS",1977,1,"JOH","GOV",40,30,58.1333,4.2667,"21/02/1977 08:23:00",139,1,"45F4","D",126975,"Dicentrarchus labrax",-9,0,0,20190405,0,"0.0105*(L)^3.02",0,0
"245","NS-IBTS",1977,1,"JOH","GOV",41,30,58.3667,3.5833,"21/02/1977 12:20:00",118,1,"45F3","D",126975,"Dicentrarchus labrax",-9,0,0,20190405,0,"0.0105*(L)^3.02",0,0
"246","NS-IBTS",1977,1,"JOH","GOV",42,30,58.5833,3.45,"21/02/1977 14:35:00",115,1,"46F3","D",126975,"Dicentrarchus labrax",-9,0,0,20190405,0,"0.0105*(L)^3.02",0,0
"247","NS-IBTS",1977,1,"JOH","GOV",43,30,58.6667,2.8333,"21/02/1977 17:35:00",114,1,"46F2","N",126975,"Dicentrarchus labrax",-9,0,0,20190405,0,"0.0105*(L)^3.02",0,0
"248","NS-IBTS",1977,1,"JOH","GOV",44,30,58.3333,2.3167,"22/02/1977 05:20:00",80,1,"45F2","N",126975,"Dicentrarchus labrax",-9,0,0,20190405,0,"0.0105*(L)^3.02",0,0
"249","NS-IBTS",1977,1,"JOH","GOV",45,30,58.3333,1.6,"22/02/1977 08:10:00",109,1,"45F1","D",126975,"Dicentrarchus labrax",-9,0,0,20190405,0,"0.0105*(L)^3.02",0,0
