"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0.00173993831188015,0.0416236220916336,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0.0110268269696885
"4",0,0,0,0,0,0.197956876886914,0,0,0,0
"5",0,0,0,0,0,0.0112076835483108,0,0.00136494033140729,0,0.0126737528063129
"6",0,0,0,0,0,0.00172183408892227,0,0,0,0.015722651095323
"7",0,0,0,0,0,0.00185831044637387,0,0.00144301770671186,0,0.00438058946680384
"8",0,0,0,0,0,0.00107626289398096,0,0,0,0.000906210968777396
"9",0,0,0,0,0,0.00227310590365852,0,0,0.0252952383664184,0
"10",0,0,0,0,0,0.00859315644172426,0,0,0.00917746621131782,0
"11",0.00238290982579283,0,0,0,0,0.00799722650506193,0,0.00223011827400924,0,0.00715783390439104
"12",0.110452580656925,0,0.00436025689488975,0,0,0.0353663830359175,0,0.00430932863816294,0.549577165462847,0.00492104352298984
"13",0.00797778420532613,0,0.00174657361159357,0.00361825540864847,0,0.0176342989192099,0,0,0,0.015921568190048
"14",0.00721092167902147,0,0.0021913688845524,0.00463960371771743,0.000178372513311362,0.0318140797660118,0.00476874252538853,0,0,0.219294794123959
"15",0.0470793053535056,0,0.0324407572424013,0,0.000979557662967881,0.0331447164590694,0.00856874863683038,0.00455652850334537,0,0.0280934756991449
"16",0.00240502951118643,0,0.0144111398667985,0,0,0.0442664323920227,0,0.00101337788925471,0.122122169510726,0.254446538885278
"17",0,0,0.0062240819661958,0.000316958139064215,0,0.00772019589856982,0,0,0,0.0367206289063846
"18",0.00518935797308153,0,0.00793595203780723,0,0.00299852249034908,0.0080125680493354,0,0.00361493734294443,0,0.0744498457253755
"19",0,0,0.014701496844447,0,0,0.0155241937338122,0.00842652453776594,0.000137866216107556,0.0142379511466682,0.175132495909443
"20",0.00528141057385432,0,0.00410628898604183,0,0.00266009346068401,0.0231343907443675,0,0.000348462206914279,0.0314510019309833,0.0491431685962427
"21",0.00193267045120665,0,0.00183320341329528,0,0.00605986630043862,0.0113006118883983,0.0635930610486061,0.00573852064940593,0,0.0692514388405229
"22",0.00424828688255231,0,0.00325467845359571,0,0,0.0198845023855168,0,0.00164094904980352,0.0919677490972431,0.144274781392737
"23",0.00289687076861088,0,0.00819063930499782,0,0,0.159380594609339,0.00538816250227003,0.00591056653622021,0.0644147853206228,0.281004960700206
"24",0,0,0.00231929693011465,0.00505591472265957,0.00598000226952141,0.0356300182498851,0.0140859807211164,0.00856312653995896,0,0.146366075490473
"25",0,0,0.367577011046939,0,0.000207107931446114,0.294139248242914,0.059346426235616,0.00269930540712703,0.007093645224783,0.0894333021649802
"26",0.0029548081839831,0,0.00178655872534688,0.00462882186110308,0,0.0736711019394756,0.00452215888316283,0.0011822742041305,0.0162140462280754,0.127950944883945
"27",0,0,0.00433729868977123,0.00876374353439879,0,0.0432358983131021,0.0146750560138787,0,0.0176413407539115,0.0547541422010641
"28",0.00367171279683182,0,0,0,0.00034458092991012,0.0621082231485643,0.00295856079608498,0.0028600938647178,0,0.0412159142376829
"29",0.00323075655730119,0,0.00329149235325468,0.00287102536491423,0,0.0741262446614212,0,0,0,0.179595974059832
"30",0.00299609761342789,0,0.0083141557196563,0,0,0.195844431366162,0.0104897723671298,0.00601770210011722,0.0201328331659083,0.105614028641473
"31",0.00272570011267796,0,0.0270205588755922,0,0,0.083542007093665,0.005404574862107,0.00656166962426176,0,0.0874520845430976
"32",0,0,0,0.0165615465657277,0,0.0234893510231974,0,0.00179523717812444,0,0.0798767474366413
"33",0.00158958084179618,0,0.00941843760328967,0.013699192382297,0.00229436655282945,0.015845858018677,0,0,0,0.0240992730189592
"34",0,0,0.00434220524866289,0.00308936042177336,0,0.0377399674768347,0,0,0,0.0553032871023079
"35",0.00793470334150731,0,0,0.00410390025553208,0,0.0572618378173974,0.00184272871458303,0.00640010024394437,0.00725584236188493,0.063593389890453
"36",0.00299609761342789,0,0.000189253799424897,0.0776803829643129,0,0.0232773396216806,0.0039323120723155,0,0,0.0833565944933756
"37",0,0,0,0.00502450084000722,0,0.0196185399484228,0,0.00312036707668213,0.26448530719823,0.0502736455058549
"38",0,0,0.00064237325284119,0.0125898678959592,0,0.0180016254124163,0,0,0.0200971775543996,0.0361969781420608
"39",0.00134637080916991,0,0.011003253517253,0,0.000408650605148184,0.146088160974919,0.00238128433174153,0.00996029847356757,0,0.13156743109428
"40",0,0,0.0492771594370866,0.00436281589982886,0,0.0312905457313228,0,0.00248546169618478,0,0.0218441240323009
"41",0,0,0.00336135189360988,0.00635525572479091,0,0.013950350228823,0.005404574862107,8.17467380418251e-05,0,0.0610437351058327
"42",0.00406750871733732,0,0.00304077401472495,0,0,0.0419264416321226,0,0,0,0
