"","V1","V2","V3","V4"
"125","-0.460484437248253","3","12","1 & 2"
"126","-0.462163036237029","4","12","1 & 2"
"127","-0.464868297908699","5","12","1 & 2"
"128","-0.468584082469283","6","12","1 & 2"
"129","-0.473266126388157","7","12","1 & 2"
"130","-0.478844468832549","8","12","1 & 2"
"131","-0.485221823772755","9","12","1 & 2"
"132","-0.492269960744677","10","12","1 & 2"
"133","0.585654610478875","0","13","1 & 2"
"134","0.600992214059101","1","13","1 & 2"
"135","0.613558164837968","2","13","1 & 2"
"136","0.623591562504392","3","13","1 & 2"
"137","0.631594921609312","4","13","1 & 2"
"138","0.638163899076282","5","13","1 & 2"
"139","0.643884229505479","6","13","1 & 2"
"140","0.649280361334032","7","13","1 & 2"
"141","0.654772742536533","8","13","1 & 2"
"142","0.660633624947135","9","13","1 & 2"
"143","0.666966762269399","10","13","1 & 2"
"144","-0.783323628487279","0","14","1 & 2"
"145","-0.784953783803087","1","14","1 & 2"
"146","-0.786026161327753","2","14","1 & 2"
"147","-0.786418526639018","3","14","1 & 2"
"148","-0.786289081879441","4","14","1 & 2"
"149","-0.786077881730454","5","14","1 & 2"
"150","-0.786341971624181","6","14","1 & 2"
"151","-0.787502530348422","7","14","1 & 2"
"152","-0.789657561080411","8","14","1 & 2"
"153","-0.792570023659845","9","14","1 & 2"
"154","-0.795820731797958","10","14","1 & 2"
"155","0.7005983420541","0","15","1 & 2"
"156","0.695726034151685","1","15","1 & 2"
"157","0.690849501534867","2","15","1 & 2"
"158","0.685993778060169","3","15","1 & 2"
"159","0.681167413920683","4","15","1 & 2"
"160","0.676359647138417","5","15","1 & 2"
"161","0.671552204178399","6","15","1 & 2"
"162","0.666738447402253","7","15","1 & 2"
"163","0.661942989114314","8","15","1 & 2"
"164","0.657241115106394","9","15","1 & 2"
"165","0.652778926540266","10","15","1 & 2"
"166","0.769433964245501","0","16","1 & 2"
"167","0.755072702959098","1","16","1 & 2"
"168","0.740032345601107","2","16","1 & 2"
"169","0.725015723876808","3","16","1 & 2"
"170","0.710300196601474","4","16","1 & 2"
"171","0.695754443345369","5","16","1 & 2"
"172","0.681057496355363","6","16","1 & 2"
"173","0.66594320317336","7","16","1 & 2"
"174","0.650351259457393","8","16","1 & 2"
"175","0.634483077083474","9","16","1 & 2"
