"","fit","se.fit","Year","Seascapenr","Ship","DayNight","uprP","lwrP","uprS","lwrS","ci_width"
"91",-3.46528112196343,0.104807234356431,1981,3,"WAH3","D",-3.25566665325056,-3.67489559067629,-3.10926230357033,-3.82129994035653,0.712037636786199
"92",-3.41975620998223,0.10357807567487,1982,3,"WAH3","D",-3.21260005863249,-3.62691236133197,-3.06791271044106,-3.7715997095234,0.70368699908234
"93",-3.39698821626966,0.101763434113683,1983,3,"WAH3","D",-3.19346134804229,-3.60051508449702,-3.05130885748068,-3.74266757505864,0.691358717577961
"94",-3.38775921941991,0.100367635728829,1984,3,"WAH3","D",-3.18702394796225,-3.58849449087757,-3.04682123649818,-3.72869720234164,0.681875965843465
"95",-3.38069089268159,0.10009439006599,1985,3,"WAH3","D",-3.18050211254961,-3.58087967281357,-3.04068109566814,-3.72070068969505,0.680019594026914
"96",-3.36544434572421,0.100110882543318,1986,3,"WAH3","D",-3.16522258063757,-3.56566611081084,-3.02537852555236,-3.70551016589605,0.680131640343689
"97",-3.33548457599889,0.099522275941539,1987,3,"WAH3","D",-3.13644002411582,-3.53452912788197,-2.99741818867298,-3.67355096332481,0.676132774651824
"98",-3.2896411678051,0.0986080343780497,1988,3,"WAH3","D",-3.092425099049,-3.4868572365612,-2.95468036000486,-3.62460197560534,0.669921615600485
"99",-3.23208511660293,0.0981697128113102,1989,3,"WAH3","D",-3.03574569098031,-3.42842454222555,-2.8986132396692,-3.56555699353666,0.666943753867465
"100",-3.17081503203202,0.0982683929258171,1990,3,"WAH3","D",-2.97427824618038,-3.36735181788365,-2.8370079494421,-3.50462211462194,0.667614165179841
"101",-3.11516680798996,0.0982591207631105,1991,3,"WAH3","D",-2.91864856646374,-3.31168504951618,-2.78139122193204,-3.44894239404788,0.667551172115841
"102",-3.07311094276317,0.0978975944584971,1992,3,"WAH3","D",-2.87731575384617,-3.26890613168016,-2.7405634223877,-3.40565846313863,0.665095040750924
"103",-3.04911708437085,0.0977372455895605,1993,3,"WAH3","D",-2.85364259319173,-3.24459157554997,-2.71711425172806,-3.38111991701363,0.664005665285575
"104",-3.04315350566461,0.0982545740395589,1994,3,"WAH3","D",-2.84664435758549,-3.23966265374373,-2.70939336433392,-3.3769136469953,0.667520282661379
"105",-3.05102394785527,0.099054057393956,1995,3,"WAH3","D",-2.85291583306736,-3.24913206264319,-2.71454804820022,-3.38749984751033,0.672951799310114
"106",-3.06584116036745,0.0993851262008661,1996,3,"WAH3","D",-2.86707090796572,-3.26461141276918,-2.72824065584931,-3.40344166488558,0.67520100903627
"107",-3.08011653092141,0.0991838732926986,1997,3,"WAH3","D",-2.88174878433602,-3.27848427750681,-2.74319966072493,-3.41703340111789,0.673833740392957
"108",-3.08779870304761,0.0991197577116565,1998,3,"WAH3","D",-2.8895591876243,-3.28603821847093,-2.75109962653249,-3.42449777956274,0.673398153030245
"109",-3.08565519403985,0.0995870082270298,1999,3,"WAH3","D",-2.88648117758579,-3.28482921049391,-2.74736891815439,-3.4239414699253,0.676572551770909
"110",-3.07363051238836,0.100110100956678,2000,3,"WAH3","D",-2.87341031047501,-3.27385071430172,-2.73356734718164,-3.41369367759509,0.680126330413442
"111",-3.05415139849999,0.100078410819596,2001,3,"WAH3","D",-2.8539945768608,-3.25430822013918,-2.71419588125505,-3.39410691574493,0.679911034489876
"112",-3.03067893050681,0.0997286753724502,2002,3,"WAH3","D",-2.83122157976191,-3.23013628125171,-2.69191142667915,-3.36944643433447,0.677535007655322
