"","fit","se.fit","Year","Seascapenr","Ship","uprP","lwrP","uprS","lwrS","ci_width"
"48",-4.21240092929102,0.0313820872791046,1992.792,1,"WAH3",-4.14963675473281,-4.27516510384923,-4.10789643896927,-4.31690541961277,0.209008980643501
"49",-4.20903372500858,0.0310142530317241,1993.128,1,"WAH3",-4.14700521894513,-4.27106223107203,-4.10575414781015,-4.31231330220701,0.206559154396858
"50",-4.20566651331482,0.0306598198892989,1993.464,1,"WAH3",-4.14434687353623,-4.26698615309342,-4.10356722264651,-4.30776580398314,0.204198581336637
"51",-4.20229929532837,0.0303192532979645,1993.8,1,"WAH3",-4.14166078873244,-4.2629378019243,-4.10133411462959,-4.30326447602716,0.201930361397569
"52",-4.19893207218481,0.0299930207306719,1994.136,1,"WAH3",-4.13894603072346,-4.25891811364615,-4.09905326817818,-4.29881087619144,0.199757608013254
"53",-4.19556484510494,0.0296815900535654,1994.472,1,"WAH3",-4.13620166499781,-4.25492802521207,-4.09672312648693,-4.29440656372295,0.197683437236014
"54",-4.1921976154189,0.0293854274578446,1994.808,1,"WAH3",-4.13342676050321,-4.25096847033459,-4.0943421384375,-4.29005309240031,0.195710953962807
"55",-4.18883038446434,0.0291049944641126,1995.144,1,"WAH3",-4.13062039553612,-4.24704037339257,-4.09190876847245,-4.28575200045624,0.193843231983786
"56",-4.1854631535898,0.0288407457795003,1995.48,1,"WAH3",-4.1277816620308,-4.2431446451488,-4.08942150373457,-4.28150480344502,0.192083299710449
"57",-4.18209592415695,0.028593126620616,1995.816,1,"WAH3",-4.12490967091571,-4.23928217739818,-4.08687886298389,-4.27731298533,0.190434122346115
"58",-4.17872869752652,0.0283625690956761,1996.152,1,"WAH3",-4.12200355933517,-4.23545383571787,-4.0842794086313,-4.27317798642173,0.188898577790434
"59",-4.17536147500877,0.0281494895840736,1996.488,1,"WAH3",-4.11906249584063,-4.23166045417692,-4.0816217554153,-4.26910119460224,0.187479439186937
"60",-4.17199425785684,0.0279542855507075,1996.824,1,"WAH3",-4.11608568675542,-4.22790282895825,-4.07890458100381,-4.26508393470987,0.186179353706056
"61",-4.16862704731773,0.0277773315943589,1997.16,1,"WAH3",-4.11307238412902,-4.22418171050645,-4.07612663920436,-4.26112745543111,0.185000816226751
"62",-4.16525984456042,0.0276189766559503,1997.496,1,"WAH3",-4.11002189124852,-4.22049779787232,-4.07328676918885,-4.257232919932,0.183946150743148
"63",-4.16189265067082,0.0274795407959582,1997.832,1,"WAH3",-4.1069335690789,-4.21685173226273,-4.07038390621998,-4.25340139512165,0.183017488901669
"64",-4.15852546672818,0.027359311521127,1998.168,1,"WAH3",-4.10380684368592,-4.21324408977043,-4.06741709395996,-4.24963383949639,0.182216745536433
"65",-4.15515829375157,0.0272585414517815,1998.504,1,"WAH3",-4.10064121084801,-4.20967537665513,-4.06438549218494,-4.2459310953182,0.181545603133255
"66",-4.15179113269988,0.0271774457579824,1998.84,1,"WAH3",-4.09743624118392,-4.20614602421585,-4.06128838532284,-4.24229388007692,0.181005494754077
"67",-4.14842398452939,0.0271161994031307,1999.176,1,"WAH3",-4.09419158572313,-4.20265638333565,-4.05812519168989,-4.2387227773689,0.18059758567901
"68",-4.14505685019695,0.027074935919429,1999.512,1,"WAH3",-4.09090697835809,-4.19920672203581,-4.05489546757158,-4.23521823282232,0.180322765250732
"69",-4.14168973065991,0.0270537460226592,1999.848,1,"WAH3",-4.08758223861459,-4.19579722270523,-4.05159891183555,-4.23178054948427,0.180181637648721
"70",-4.1383226268803,0.0270526761426237,2000.184,1,"WAH3",-4.08421727459506,-4.19242797916555,-4.04823537082941,-4.2284098829312,0.180174512101793
"71",-4.13495553990624,0.0270717286232412,2000.52,1,"WAH3",-4.08081208265976,-4.18909899715272,-4.04480483779586,-4.22510624201662,0.180301404220764
"72",-4.13158847086187,0.0271108616671315,2000.856,1,"WAH3",-4.07736674752761,-4.18581019419614,-4.04130745304718,-4.22186948867656,0.180562035629384
"73",-4.12822142088387,0.0271699892411413,2001.192,1,"WAH3",-4.07388144240159,-4.18256139936616,-4.03774350421631,-4.21869933755143,0.180955833335119
"74",-4.12485439127526,0.0272489826522759,2001.528,1,"WAH3",-4.07035642597071,-4.17935235657982,-4.03411342116272,-4.2155953613878,0.181481940225078
"75",-4.12148738347709,0.0273476717479955,2001.864,1,"WAH3",-4.0667920399811,-4.17618272697309,-4.03041777194702,-4.21255699500716,0.18213922306014
"76",-4.11812039894817,0.0274658461333645,2002.2,1,"WAH3",-4.06318870668144,-4.1730520912149,-4.0266572586575,-4.20958353923884,0.182926280581345
"77",-4.11475343935434,0.027603257907968,2002.536,1,"WAH3",-4.05954692353841,-4.16995995517028,-4.02283270848528,-4.2066741702234,0.183841461738126
"78",-4.11138650652285,0.0277596239529958,2002.872,1,"WAH3",-4.05586725861685,-4.16690575442884,-4.01894506606255,-4.20382794698315,0.1848828809206
