"","Seascapes","lag","si","cmi","bcmi","z"
"1","1 & 2",0,1.38614384447456,0.522716766306787,0.454531434689168,3.42996296601727
"2","1 & 2",1,1.38614384447456,0.441675238230771,0.361474764582478,2.45124557140098
"3","1 & 2",2,1.38614384447456,0.463564957034867,0.415906627680513,3.99819612339225
"4","1 & 2",3,1.38614384447456,0.321381792673959,0.214394672225792,2.02829015666436
"5","1 & 2",4,1.38614384447456,0.300125027042883,0.186955779374741,1.68848605018373
"6","1 & 2",5,1.38614384447456,0.273120021101988,0.207110299470093,1.76786302105915
"7","1 & 2",6,1.38614384447456,0.285101634917897,0.183450048676323,1.74535298919674
"8","1 & 2",7,1.38614384447456,0.286066224863862,0.214353546456595,1.96809099283521
"9","1 & 2",8,1.38614384447456,0.287660975157679,0.234534566283443,2.96046016736992
"10","1 & 2",9,1.38614384447456,0.234603486022638,0.172998588288693,1.99053276833089
"11","1 & 2",10,1.38614384447456,0.178674343444568,0.123912688528345,1.52081718395318
"12","1 & 3",0,1.38614384447456,0.70300716961775,0.615560168976927,3.7678601733165
"13","1 & 3",1,1.38614384447456,0.626459671557844,0.480927561778555,3.27207247450099
"14","1 & 3",2,1.38614384447456,0.640265561133462,0.512365892555893,3.32726571489751
"15","1 & 3",3,1.38614384447456,0.610779953062115,0.530422862699695,3.07252854304997
"16","1 & 3",4,1.38614384447456,0.512769852575043,0.381050509312908,2.49653017645495
"17","1 & 3",5,1.38614384447456,0.513467735416297,0.439931015587759,3.47050060714632
"18","1 & 3",6,1.38614384447456,0.419646762511914,0.309511233304203,2.98659523320964
"19","1 & 3",7,1.38614384447456,0.362325848139341,0.259569750162636,2.24988952312435
"20","1 & 3",8,1.38614384447456,0.327674214371334,0.259623622865512,2.7429025297221
"21","1 & 3",9,1.38614384447456,0.258189494706965,0.157464285685085,1.26761417820777
"22","1 & 3",10,1.38614384447456,0.240195994321343,0.191219553363019,2.38088607297301
"23","1 & 4",0,1.38614384447456,0.425340851362876,0.293844582755796,2.46288371412953
"24","1 & 4",1,1.38614384447456,0.429604770730866,0.263519436474824,2.35632232912688
"25","1 & 4",2,1.38614384447456,0.362458429675795,0.207516052045827,1.9137634798137
"26","1 & 4",3,1.38614384447456,0.310337309759201,0.121328270318009,1.05247180658729
"27","1 & 4",4,1.38614384447456,0.375619771894331,0.273793189574731,2.27306797784644
"28","1 & 4",5,1.38614384447456,0.30331767657608,0.176094228345678,1.6751314126806
"29","1 & 4",6,1.38614384447456,0.301966510004542,0.203188807950182,2.0274905905516
"30","1 & 4",7,1.38614384447456,0.255092644158555,0.145251798649433,1.54904681145386
"31","1 & 4",8,1.38614384447456,0.268978445825716,0.195595607924956,1.86605101518951
"32","1 & 4",9,1.38614384447456,0.215382293422183,0.150466851444409,1.70373063118093
"33","1 & 4",10,1.38614384447456,0.172305460613933,0.0700267484075879,0.86871206738531
"34","1 & 5",0,1.38614384447456,0.4804166549303,0.339551090189286,2.23244407942396
"35","1 & 5",1,1.38614384447456,0.517616292822805,0.347511629819581,2.49408706708854
"36","1 & 5",2,1.38614384447456,0.454041967942533,0.302692360233871,2.28356073609182
"37","1 & 5",3,1.38614384447456,0.374339566182723,0.234739112650873,1.88612062820181
"38","1 & 5",4,1.38614384447456,0.35607491823739,0.240339008851667,1.7513112955583
"39","1 & 5",5,1.38614384447456,0.302184143025751,0.184547226987107,1.65265224193579
"40","1 & 5",6,1.38614384447456,0.249024387338949,0.104856114062676,0.95753856206417
"41","1 & 5",7,1.38614384447456,0.280329930209166,0.163873903799015,1.7137600565286
"42","1 & 5",8,1.38614384447456,0.188401363320565,0.0713371265257043,0.830712315960503
"43","1 & 5",9,1.38614384447456,0.162767675652092,0.0447713660992758,0.554356637274783
"44","1 & 5",10,1.38614384447456,0.259887424933243,0.199944102272308,2.35712057691281
"45","1 & 6",0,1.38614384447456,0.316393138460617,0.136114946537127,1.40938636432666
"46","1 & 6",1,1.38614384447456,0.286508064352573,0.100713393330789,1.2033874657931
"47","1 & 6",2,1.38614384447456,0.335509943843111,0.196606984008136,2.50901880905241
"48","1 & 6",3,1.38614384447456,0.247137718658249,0.0676826215336376,0.813549274340441
"49","1 & 6",4,1.38614384447456,0.288219580743308,0.154320424424523,1.96358718340374
"50","1 & 6",5,1.38614384447456,0.31270671262932,0.199141135129226,2.33086175683375
"51","1 & 6",6,1.38614384447456,0.193908353146124,0.0398359751951015,0.532228528812151
"52","1 & 6",7,1.38614384447456,0.243970209346283,0.144555826704619,1.69707440265008
"53","1 & 6",8,1.38614384447456,0.224764903901898,0.142018422104124,1.52004433449734
"54","1 & 6",9,1.38614384447456,0.244742388706109,0.165392202794143,1.96185994559621
"55","1 & 6",10,1.38614384447456,0.205588998574151,0.115010857121961,1.09171506607064
"56","1 & 7",0,1.38614384447456,0.441097570842236,0.298866091337626,3.33386225861855
"57","1 & 7",1,1.38614384447456,0.459182278890921,0.34839749728502,2.78746184820604
"58","1 & 7",2,1.38614384447456,0.409251163782543,0.27329187519416,2.20175585629077
"59","1 & 7",3,1.38614384447456,0.35224816707647,0.20990421460895,1.63419547273179
"60","1 & 7",4,1.38614384447456,0.310497338681991,0.15087210506789,1.69385888864562
"61","1 & 7",5,1.38614384447456,0.250399841518094,0.108956283800901,1.23045895664005
"62","1 & 7",6,1.38614384447456,0.265326909530494,0.149204755402487,1.7764447974489
"63","1 & 7",7,1.38614384447456,0.321494502664215,0.282951971307297,2.8225256378592
"64","1 & 7",8,1.38614384447456,0.167388850330918,0.0624021250103156,1.16502746308272
"65","1 & 7",9,1.38614384447456,0.141661546670927,0.0389679838527561,0.610342045580766
