"","Seascapes","lag","si","cmi","bcmi","z"
"1","1 & 2",0,1.09424089053796,0.555373786006146,0.49996358637135,3.74835957601999
"2","1 & 2",1,1.09424089053796,0.502749653847278,0.435228727150408,3.05482275888731
"3","1 & 2",2,1.09424089053796,0.5023941266321,0.454936666195789,4.95140636446104
"4","1 & 2",3,1.09424089053796,0.477846782369939,0.423456546517326,3.11445700813709
"5","1 & 2",4,1.09424089053796,0.324302216785576,0.179193013568599,1.77190772317267
"6","1 & 2",5,1.09424089053796,0.377517570699116,0.298469940533481,2.22015897890253
"7","1 & 2",6,1.09424089053796,0.344733886694641,0.231131702121683,2.04045160946588
"8","1 & 2",7,1.09424089053796,0.408391719916962,0.345593291337641,2.39501142514907
"9","1 & 2",8,1.09424089053796,0.34276631581308,0.270374135655295,2.57247112583118
"10","1 & 2",9,1.09424089053796,0.380300547316094,0.337097144252168,2.23398345830086
"11","1 & 2",10,1.09424089053796,0.346687107357148,0.248848534091129,2.42869802466177
"12","1 & 3",0,1.09424089053796,0.655822260880421,0.622576280406338,3.94296528127397
"13","1 & 3",1,1.09424089053796,0.396118013308151,0.29872303005145,2.94572123814635
"14","1 & 3",2,1.09424089053796,0.471200068766061,0.410013786816494,3.52780865239125
"15","1 & 3",3,1.09424089053796,0.505056964261957,0.416421608285156,3.78039733336638
"16","1 & 3",4,1.09424089053796,0.371606111517595,0.281888982880658,2.66225433545858
"17","1 & 3",5,1.09424089053796,0.388909115044773,0.297258809457145,2.69712369349463
"18","1 & 3",6,1.09424089053796,0.354513944029753,0.25847119894859,2.42696367099055
"19","1 & 3",7,1.09424089053796,0.265928567039665,0.148552768694628,1.52882810506667
"20","1 & 3",8,1.09424089053796,0.174670201855492,0.0455002088758394,0.582088529165779
"21","1 & 3",9,1.09424089053796,0.144519052454288,0.0157435919405884,0.192261933792359
"22","1 & 3",10,1.09424089053796,0.180855247343701,0.0630197408085099,0.831330904273905
"23","1 & 4",0,1.09424089053796,0.447751672899066,0.311194872621346,2.96405342281233
"24","1 & 4",1,1.09424089053796,0.523295519844083,0.445374116585485,3.90503415227049
"25","1 & 4",2,1.09424089053796,0.417190462667653,0.276449502391707,2.39106629600304
"26","1 & 4",3,1.09424089053796,0.332271601467677,0.198172094995862,2.06178938126666
"27","1 & 4",4,1.09424089053796,0.428949072219018,0.34609616344216,2.98599618017508
"28","1 & 4",5,1.09424089053796,0.326856916762947,0.220607469307472,2.47508341710465
"29","1 & 4",6,1.09424089053796,0.308766863366465,0.180867699352992,2.69043882815842
"30","1 & 4",7,1.09424089053796,0.338358753246402,0.214282832476524,2.19194790932398
"31","1 & 4",8,1.09424089053796,0.34552439502384,0.29045429527732,3.3954160825551
"32","1 & 4",9,1.09424089053796,0.333739206879405,0.264335124989809,2.83895687903055
"33","1 & 4",10,1.09424089053796,0.320523307444096,0.218065146836032,2.12612935225294
"34","1 & 5",0,1.09424089053796,0.533509017689051,0.497381051260885,3.43664259246534
"35","1 & 5",1,1.09424089053796,0.398150977728712,0.332015298128454,3.02271929706806
"36","1 & 5",2,1.09424089053796,0.418810805479373,0.364247362609575,3.17320725235713
"37","1 & 5",3,1.09424089053796,0.490620353435634,0.426099060130776,3.58670091297132
"38","1 & 5",4,1.09424089053796,0.371981506793556,0.297911394673676,2.7200853976024
"39","1 & 5",5,1.09424089053796,0.354049750307579,0.278748052726119,2.40706274788966
"40","1 & 5",6,1.09424089053796,0.338718762684556,0.241475864056775,2.12101394968098
"41","1 & 5",7,1.09424089053796,0.353011207390687,0.288175699334106,2.75664586005619
"42","1 & 5",8,1.09424089053796,0.234944737039809,0.162942276477102,1.96633461160954
"43","1 & 5",9,1.09424089053796,0.146230163064573,0.0198864154606185,0.290842373564638
"44","1 & 5",10,1.09424089053796,0.196026111754103,0.0945368345695703,1.18204733214475
"45","1 & 6",0,1.09424089053796,0.327331172268382,0.237593476242409,2.27652274089468
"46","1 & 6",1,1.09424089053796,0.242812212480113,0.128353104050565,1.6585726114532
"47","1 & 6",2,1.09424089053796,0.25578441354582,0.134538839658065,1.50093236882413
"48","1 & 6",3,1.09424089053796,0.321766303516117,0.210418698509628,2.04982754424292
"49","1 & 6",4,1.09424089053796,0.371927057787726,0.290233128720895,2.95581281794826
"50","1 & 6",5,1.09424089053796,0.349487883179672,0.249899151186325,1.82693873503241
"51","1 & 6",6,1.09424089053796,0.264053783678821,0.113029701094827,1.15443967133915
"52","1 & 6",7,1.09424089053796,0.385838646317184,0.330138747293081,2.08752757835578
"53","1 & 6",8,1.09424089053796,0.432332096788741,0.364763703211421,3.14381352319188
"54","1 & 6",9,1.09424089053796,0.205275998439521,0.0715183318102545,0.745283304243886
"55","1 & 6",10,1.09424089053796,0.29741442695844,0.184333106752285,1.51486933991142
"56","1 & 7",0,1.09424089053796,0.368943268274415,0.303326011139982,2.2298245790688
"57","1 & 7",1,1.09424089053796,0.322063483369459,0.234860644368515,1.96705276764727
"58","1 & 7",2,1.09424089053796,0.324666196611058,0.231447340402398,1.64197695349453
"59","1 & 7",3,1.09424089053796,0.288935482400912,0.167427553253358,1.87858024935832
"60","1 & 7",4,1.09424089053796,0.307688402841644,0.186560063568413,1.95693881141604
"61","1 & 7",5,1.09424089053796,0.415050977498341,0.335608599408019,3.6404611795664
"62","1 & 7",6,1.09424089053796,0.361342536561547,0.310176611318195,3.7472680214453
"63","1 & 7",7,1.09424089053796,0.314034091692369,0.247996294282399,3.12943807305409
"64","1 & 7",8,1.09424089053796,0.238059235276305,0.135178230161443,1.63044178426825
"65","1 & 7",9,1.09424089053796,0.23213238756483,0.0917536140505944,0.98450349225136
"66","1 & 7",10,1.09424089053796,0.363673093008149,0.302782437567834,2.71591604624203
"67","1 & 8",0,1.09424089053796,0.257292746600934,0.148420606759726,1.63781134679043
"68","1 & 8",1,1.09424089053796,0.172275513067913,0.0308457142430719,0.46908563030366
"69","1 & 8",2,1.09424089053796,0.181873846743752,0.0511370015569759,0.696953314514443
"70","1 & 8",3,1.09424089053796,0.281390596941794,0.152375486101844,1.81946382225669
"71","1 & 8",4,1.09424089053796,0.252997285053227,0.118694063748622,1.37012918107135
