"","Seascapes","lag","si","cmi","bcmi","z"
"1","1 & 2",0,1.04088964732252,0.470824294035055,0.354259486980293,3.95538033117511
"2","1 & 2",1,1.04088964732252,0.485472763371299,0.375217440495648,3.28275717271816
"3","1 & 2",2,1.04088964732252,0.610618334630667,0.485511920694296,5.64390602568446
"4","1 & 2",3,1.04088964732252,0.544170926741908,0.46510302697038,3.8078561454197
"5","1 & 2",4,1.04088964732252,0.555879698662354,0.477274403333243,4.8500563717749
"6","1 & 2",5,1.04088964732252,0.465627367143457,0.341402547609876,3.76736105903587
"7","1 & 2",6,1.04088964732252,0.507731380488901,0.415436765045766,4.14316588860259
"8","1 & 2",7,1.04088964732252,0.520246323624474,0.397380064266026,5.10182207738035
"9","1 & 2",8,1.04088964732252,0.489692374919329,0.387130327048851,3.65815902687403
"10","1 & 2",9,1.04088964732252,0.531574915360918,0.423842389797749,3.99844539069932
"11","1 & 2",10,1.04088964732252,0.454159331293095,0.304334625577881,2.72174521960899
"12","1 & 3",0,1.04088964732252,0.584358917191011,0.495324694352686,4.51740161861372
"13","1 & 3",1,1.04088964732252,0.560710695430607,0.47833543706759,4.82789338576844
"14","1 & 3",2,1.04088964732252,0.567139109371124,0.463167374754084,4.43642992268268
"15","1 & 3",3,1.04088964732252,0.566761007553305,0.488440509470066,4.36590547536805
"16","1 & 3",4,1.04088964732252,0.514331892603181,0.381629008639122,3.80835257711793
"17","1 & 3",5,1.04088964732252,0.501499419302516,0.349524424865885,3.27483602812107
"18","1 & 3",6,1.04088964732252,0.501788297610115,0.388344351434613,3.53510956822276
"19","1 & 3",7,1.04088964732252,0.616384091892935,0.535614870736061,4.82430037659555
"20","1 & 3",8,1.04088964732252,0.551244168673027,0.425000844038209,3.53521076723825
"21","1 & 3",9,1.04088964732252,0.663569303345598,0.568965326084489,5.24763720616965
"22","1 & 3",10,1.04088964732252,0.642022366377428,0.531903458410574,6.59700049280967
